,,ロット情報,,,,,,①盛り後,②2~3h後点検,,,,,③制御2→3,,,,,,,④手入れ前,,,,,,,,⑤制御3→4,,,,,,⑥制御4,,,⑦朝から除湿,,,,,
製麴機,月日,産地,新古,品種,精米歩合,枚数,重量,①品温,②時刻,②時刻(h),②品温,②保温1,②保温2,③換気,③排気,③除湿機入り,③除湿機戻り,③保温1,③保温2,③風量,④時刻,④時刻(h),④品温,④換気,④排気,④除湿機入り,④除湿機戻り,④風量,"⑤変更有無
変更無=1
変更有=2",⑤換気,⑤排気,⑤除湿機入り,⑤除湿機戻り,⑤風量,⑥変更有無,⑥換気,⑥排気,⑦換気,⑦排気,⑦除湿機入り,⑦除湿機戻り,⑦風量,
A,2024/1/8,広島県,新米,八反錦,65,6,140,31.94,10:47:00,10.78 ,34.10,,,1.5,2.3,全閉,全閉,39.0,39.5,6.4,15:13:00,15.22 ,40.70,0.6,1.3,2.5,全開,6.3,2,0.5,1.1,2.5,全開,6.3,2,0.4,0.9,,,,,,
B,2024/1/9,兵庫県,新米,山田錦,35,3,57,31.06,11:06:00,11.10 ,35.20,,,,,,,,,,15:02:00,15.03 ,41.46,1.5,2.0,全閉,全閉,4.8,2,1.7,2.0,全閉,全閉,4.8,2,1.7,1.9,,,,,,
A,2024/1/10,兵庫県,新米,山田錦,50,6,140,31.48,10:55:00,10.92 ,33.36,,,,,,,,,,15:11:00,15.18 ,40.74,0.5,1.2,2.5,全開,6.3,2,0.5,1.0,2.5,全開,6.3,2,0.4,0.8,,,,,,
B,2024/1/11,広島県,新米,八反錦,65,6,120,32.36,10:44:00,10.73 ,34.42,,,1.4,2.2,全閉,全閉,39.0,39.5,6.0,15:24:00,15.40 ,41.00,0.5,1.1,2.5,全開,6.0,2,0.4,1.1,2.5,全開,6.0,2,0.3,0.8,,,,,,
A,2024/1/12,兵庫県,新米,山田錦,50,6,140,32.12,10:40:00,10.67 ,34.04,39.0,39.5,1.5,2.35,全閉,全閉,39.0,39.5,6.3,15:11:00,15.18 ,41.10,0.5,1.2,2.5,全開,6.3,1,0.5,1.2,2.5,全開,6.3,2,0.5,1.0,,,,,,
B,2024/1/13,兵庫県,新米,山田錦,50,6,150,32.42,10:49:00,10.82 ,34.98,39.0,39.5,1.6,2.4,全閉,全閉,39.0,39.5,6.4,15:18:00,15.30 ,41.62,0.7,1.4,2.5,全開,6.4,2,0.6,1.3,2.5,全開,6.4,2,0.6,1.4,,,,,,
A,2024/1/14,兵庫県,新米,山田錦,50,6,140,32.12,10:31:00,10.52 ,33.96,,,,,,,,,,15:00:00,15.00 ,40.66,0.5,1.2,2.5,全開,6.3,1,0.5,1.2,2.5,全開,6.3,2,0.5,0.9,,,,,,
A,2024/1/16,兵庫県,新米,山田錦,35,4,95,31.12,10:42:00,10.70 ,35.00,,,,,,,,,,14:43:00,14.72 ,40.68,1.5,2.2,全閉,全閉,5.5,2,1.3,2.0,全閉,全閉,5.5,2,1.5,2.2,0.25,0.65,2.7,1.0,5.7,
B,2024/1/17,兵庫県,新米,山田錦,50,6,110,31.46,10:38:00,10.63 ,33.42,,,,,,,,,,15:05:00,15.08 ,,0.4,1.0,2.7,1.0,5.8,2,0.4,0.8,2.7,1.0,5.8,2,0.3,0.5,,,,,,
A,2024/1/18,兵庫県,新米,山田錦,35,4,100,30.88,10:54:00,10.90 ,33.90,,,1.5,2.2,全閉,全閉,39.0,39.5,5.7,15:12:00,15.20 ,41.24,1.6,2.2,全閉,全閉,5.7,2,1.75,2.2,全閉,全閉,5.7,1,1.75,2.2,,,,,,
B,2024/1/19,兵庫県,新米,山田錦,35,4,90,30.74,11:17:00,11.28 ,34.54,,,,,,,,,,15:06:00,15.10 ,41.26,1.5,2.1,全閉,全閉,5.5,1,1.5,2.1,全閉,全閉,5.5,1,1.5,2.1,0.25,0.65,2.7,1.0,,
A,2024/1/20,兵庫県,新米,山田錦,35,6,105,31.56,10:34:00,10.57 ,34.24,,,,,,,,,,15:01:00,15.02 ,41.88,1.5,2.2,全閉,全閉,5.8,2,1.6,2.1,全閉,全閉,5.8,2,1.7,2.2,0.4,0.8,2.7,0.5,,
B,2024/1/21,広島県,新米,八反錦,60,4,90,31.56,10:37:00,10.62 ,34.20,,,,,,,,,,15:11:00,15.18 ,41.14,1.5,2.1,全閉,全閉,5.5,1,1.5,2.1,全閉,全閉,5.5,2,1.4,1.8,0.25,0.75,2.7,1.0,5.8,
A,2024/1/22,兵庫県,新米,山田錦,35,4,85,30.64,10:35:00,10.58 ,33.38,,,,,,,,,,15:04:00,15.07 ,41.52,1.5,2.1,全閉,全閉,5.5,2,1.6,2.0,全閉,全閉,5.5,2,1.6,1.9,0.25,0.65,2.7,1.0,,
B,2024/1/23,兵庫県,新米,山田錦,35,6,110,30.56,10:40:00,10.67 ,33.28,,,,,,,,,,15:18:00,15.30 ,40.78,1.7,2.2,全閉,全閉,5.8,2,1.6,2.2,全閉,全閉,5.8,1,1.6,2.2,0.3,0.75,2.8,1.0,6.0,
A,2024/1/24,兵庫県,新米,山田錦,35,4,95,30.32,10:19:00,10.32 ,32.08,,,,,,,,,,15:16:00,15.27 ,40.80,1.6,2.2,全閉,全閉,5.6,1,1.6,2.2,全閉,全閉,5.6,1,1.6,2.2,0.25,0.65,2.8,1.0,5.7,
B,2024/1/25,兵庫県,新米,山田錦,35,4,80,30.42,10:26:00,10.43 ,32.54,,,,,,,,,,15:21:00,15.35 ,40.90,1.5,2.1,全閉,全閉,5.5,1,1.5,2.1,全閉,全閉,5.5,1,1.5,2.1,0.25,0.55,2.8,1.0,,
A,2024/1/26,兵庫県,新米,山田錦,35,4,80,30.68,10:24:00,10.40 ,33.04,,,,,,,,,,15:09:00,15.15 ,41.04,1.5,2.1,全閉,全閉,5.5,1,1.5,2.1,全閉,全閉,5.5,1,1.5,2.1,0.25,0.65,2.8,1.0,,
B,2024/1/27,兵庫県,新米,山田錦,50,4,100,31.60,10:37:00,10.62 ,33.86,,,,,,,,,,15:08:00,15.13 ,41.24,1.7,2.3,全閉,全閉,5.7,2,1.6,2.2,全閉,全閉,5.7,2,1.6,2.1,0.25,0.75,2.7,0.5,5.8,
A,2024/1/28,兵庫県,新米,山田錦,35,4,90,30.34,11:13:00,11.22 ,33.64,,,,,,,,,,15:19:00,15.32 ,40.78,1.5,2.1,全閉,全閉,5.6,1,1.5,2.1,全閉,全閉,5.6,2,1.5,2.0,0.25,0.65,2.8,1.0,,
B,2024/1/29,兵庫県,新米,山田錦,35,4,95,30.36,10:43:00,10.72 ,32.74,,,,,,,,,,15:20:00,15.33 ,41.22,1.6,2.2,全閉,全閉,5.7,1,1.6,2.2,全閉,全閉,5.7,1,1.6,2.2,0.25,0.65,2.7,1.0,,
A,2024/1/30,岡山県,新米,雄町,40,4,95,31.44,10:16:00,10.27 ,33.02,,,,,,,,,,15:16:00,15.27 ,40.96,1.5,2.2,全閉,全閉,5.6,1,1.5,2.2,全閉,全閉,5.6,2,1.5,2.0,0.25,0.55,2.8,1.0,5.7,
B,2024/1/31,兵庫県,新米,山田錦,35,3,60,30.28,10:58:00,10.97 ,33.48,,,,,,,,,,15:11:00,15.18 ,41.02,1.3,1.9,全閉,全閉,4.8,2,1.3,1.8,全閉,全閉,4.8,2,1.3,1.9,0.2,0.5,2.9,1.0,,
A,2024/2/1,広島県,新米,八反錦,60,6,140,31.64,10:51:00,10.85 ,33.72,,,1.4,2.2,全閉,全閉,39.0,39.5,6.4,15:20:00,15.33 ,40.76,0.6,1.1,2.5,全開,6.4,1,0.6,1.1,2.5,全開,6.4,2,0.6,0.9,,,,,,
B,2024/2/2,岡山県,新米,雄町,40,3,60,31.76,10:26:00,10.43 ,33.32,,,,,,,,,,15:23:00,15.38 ,40.28,1.3,1.8,全閉,全閉,4.8,1,1.3,1.8,全閉,全閉,4.8,2,1.3,1.6,0.2,0.8,2.9,1.0,,
A,2024/2/3,広島県,新米,八反錦,60,6,140,31.54,10:36:00,10.60 ,33.20,,,1.5,2.3,全閉,全閉,39.0,39.5,6.3,15:31:00,15.52 ,41.14,0.6,1.0,2.5,全開,6.3,2,0.5,0.9,2.5,全開,6.3,2,0.4,0.7,,,,,,
B,2024/2/4,広島県,新米,八反錦,60,6,120,31.82,10:59:00,10.98 ,34.54,,,,,,,,,,15:13:00,15.22 ,40.48,0.5,0.9,2.7,0.5,6.0,2,0.4,0.8,2.7,0.5,6.0,2,0.3,0.6,,,,,,
A,2024/2/5,広島県,新米,八反錦,60,6,140,32.34,11:01:00,11.02 ,34.96,,,,,,,,,,15:13:00,15.22 ,41.28,0.5,1.0,2.7,0.5,6.2,1,0.5,1.0,2.7,0.5,6.2,2,0.4,0.8,,,,,,
B,2024/2/6,広島県,新米,八反錦,60,6,120,32.44,10:33:00,10.55 ,34.18,,,,,,,,,,15:08:00,15.13 ,41.26,0.4,0.9,2.9,1.0,6.0,2,0.4,0.7,2.9,1.0,6.0,2,0.25,0.4,,,,,,
A,2024/2/7,兵庫県,新米,山田錦,50,3,70,31.98,11:08:00,11.13 ,34.84,,,1.4,2.0,全閉,全閉,39.0,39.5,5.0,15:26:00,15.43 ,41.04,1.4,1.9,全閉,全閉,5.0,2,1.3,1.9,全閉,全閉,5.0,2,1.4,1.9,0.2,0.5,3.0,1.0,5.0,
B,2024/2/8,広島県,新米,八反錦,60,6,120,32.10,11:07:00,11.12 ,34.62,,,,,,,,,,15:16:00,15.27 ,40.86,0.4,0.9,2.9,1.0,6.0,1,0.4,0.9,2.9,1.0,6.0,2,0.3,0.6,,,,,,
A,2024/2/9,兵庫県,新米,山田錦,50,6,145,31.62,10:58:00,10.97 ,33.68,,,,,,,,,,15:16:00,15.27 ,40.68,0.7,1.1,2.8,0.5,6.3,1,0.7,1.1,2.8,0.5,6.3,2,0.6,0.9,,,,,,
B,2024/2/10,兵庫県,新米,山田錦,50,6,140,31.98,10:47:00,10.78 ,33.90,,,,,,,,,,15:28:00,15.47 ,41.20,0.6,1.0,2.5,全開,6.2,2,0.6,0.9,2.5,全開,6.2,2,0.5,0.8,,,,,,
A,2024/2/11,兵庫県,新米,山田錦,50,6,145,31.64,10:50:00,10.83 ,34.00,,,,,,,,,,15:10:00,15.17 ,40.28,0.5,1.0,2.5,全開,6.3,1,0.5,1.0,2.5,全開,6.3,2,0.4,0.7,,,,,,
B,2024/2/12,兵庫県,新米,白鶴錦,48,3,62,32.24,10:34:00,10.57 ,34.46,,,1.3,1.9,,,,,,15:20:00,15.33 ,41.46,1.3,1.9,全閉,全閉,4.8,1,1.3,1.9,全閉,全閉,4.8,2,1.4,1.9,,,,,,
A,2024/2/13,兵庫県,新米,山田錦,50,6,120,31.50,10:59:00,10.98 ,33.68,,,,,,,,,,15:04:00,15.07 ,40.36,0.4,0.9,2.5,全開,6.0,1,0.4,0.9,2.5,全開,6.0,2,0.4,0.8,,,,,,
A,2024/2/15,兵庫県,新米,山田錦,50,6,140,32.28,10:52:00,10.87 ,34.74,,,,,,,,,,14:39:39,14.66 ,40.62,0.5,0.9,2.5,全開,6.3,2,0.4,0.8,2.5,全開,6.3,2,0.4,0.7,,,,,,
B,2024/2/16,兵庫県,新米,山田錦,50,6,120,32.80,10:55:00,10.92 ,35.08,,,,,,,,,,15:28:00,15.47 ,41.38,0.4,0.8,2.5,全開,6.0,2,0.4,0.7,2.5,全開,6.0,2,0.4,0.5,,,,,,
A,2024/2/17,兵庫県,新米,山田錦,50,6,140,32.40,11:15:00,11.25 ,35.02,,,,,,,,,,15:08:00,15.13 ,41.10,0.5,0.9,2.5,全開,6.3,1,0.5,0.9,2.5,全開,6.3,1,0.5,0.9,,,,,,
B,2024/2/18,兵庫県,新米,山田錦,50,6,120,32.04,11:05:00,11.08 ,34.22,,,,,,,,,,15:07:00,15.12 ,41.14,0.4,0.8,2.5,全開,6.0,2,0.3,0.7,2.5,全開,6.0,2,0.3,0.5,,,,,,
A,2024/2/19,兵庫県,新米,山田錦,50,6,135,32.30,10:54:00,10.90 ,34.36,,,,,,,,,,15:12:00,15.20 ,40.90,0.5,0.7,2.5,全開,6.2,1,0.5,0.7,2.5,全開,6.2,1,0.5,0.7,,,,,,
B,2024/2/20,兵庫県,新米,山田錦,50,6,120,32.94,11:13:00,11.22 ,36.32,,,,,,,,,,15:02:00,15.03 ,41.34,0.5,0.7,2.5,全開,6.0,1,0.5,0.7,2.5,全開,6.0,1,0.5,0.7,,,,,,
A,2024/2/21,兵庫県,新米,山田錦,60,3,70,33.06,11:02:00,11.03 ,36.52,,,,,,,,,,15:19:00,15.32 ,41.48,1.5,2.2,全閉,全閉,5.2,2,1.3,2.2,全閉,全閉,5.2,1,1.3,2.2,on,,,,,
B,2024/2/22,兵庫県,新米,山田錦,60,4,100,32.46,11:08:00,11.13 ,35.76,,,,,,,,,,14:48:00,14.80 ,41.20,1.5,2.3,全閉,全閉,5.7,2,1.5,2.1,全閉,全閉,5.7,1,1.5,2.1,,,,,,
A,2024/2/23,兵庫県,新米,白鶴錦,48,4,80,31.50,10:50:00,10.83 ,34.16,,,,,,,,,,15:11:00,15.18 ,41.14,1.4,2.1,全閉,全閉,5.4,1,1.4,2.1,全閉,全閉,5.4,1,1.4,2.1,on,,,,,
B,2024/2/24,岡山県,新米,雄町,50,4,100,31.74,10:20:00,10.33 ,33.32,,,,,,,,,,15:16:00,15.27 ,40.78,1.5,2.2,全閉,全閉,5.7,1,1.5,2.2,全閉,全閉,5.7,2,1.5,2.0,,,,,,
A,2024/2/25,兵庫県,新米,白鶴錦,48,6,135,31.84,10:19:00,10.32 ,33.20,,,1.4,2.2,全閉,全閉,39.0,39.5,6.2,15:08:00,15.13 ,40.60,0.5,0.9,2.5,全開,6.2,2,0.5,0.7,2.5,全開,6.2,1,0.5,0.7,,,,,,
A,2024/2/27,兵庫県,新米,白鶴錦,48,6,125,31.88,11:24:00,11.40 ,34.94,,,,,,,,,,15:00:00,15.00 ,40.92,0.5,0.8,2.5,全開,6.2,2,0.5,0.6,2.5,全開,6.2,1,0.5,0.6,,,,,,
B,2024/2/28,兵庫県,新米,白鶴錦,48,3,65,31.60,10:46:00,10.77 ,33.78,,,,,,,,,,15:13:00,15.22 ,41.06,1.3,1.9,全閉,全閉,4.8,1,1.3,1.9,全閉,全閉,4.8,1,1.3,1.9,,,,,,
A,2024/2/29,兵庫県,新米,白鶴錦,48,6,125,31.44,10:37:00,10.62 ,33.30,,,1.4,2.2,全閉,全閉,39.0,39.5,6.2,15:16:00,15.27 ,40.54,0.5,0.8,2.5,全開,6.2,2,0.5,0.6,2.5,全開,6.2,2,0.4,0.5,,,,,,
B,2024/3/1,岡山県,新米,八反錦,60,3,60,31.72,10:46:00,10.77 ,34.26,,,,,,,,,,15:21:00,15.35 ,40.98,1.3,1.9,全閉,全閉,4.8,1,1.3,1.9,全閉,全閉,4.8,2,1.3,1.7,,,,,,
A,2024/3/2,兵庫県,新米,愛山,50,6,140,31.82,10:35:00,10.58 ,33.50,,,,,,,,,,15:13:00,15.22 ,40.96,0.7,0.9,2.5,全開,6.3,1,0.7,0.9,2.5,全開,6.3,2,0.6,0.7,,,,,,
B,2024/3/3,兵庫県,新米,白鶴錦,48,3,60,31.30,10:53:00,10.88 ,33.66,,,,,,,,,,15:27:00,15.45 ,40.82,1.3,1.9,全閉,全閉,4.8,1,1.3,1.9,全閉,全閉,4.8,1,1.3,1.9,,,,,,
A,2024/3/4,兵庫県,新米,愛山,50,6,140,31.46,10:50:00,10.83 ,33.74,,,,,,,,,,15:09:00,15.15 ,40.72,0.7,0.9,2.5,全開,6.3,2,0.6,0.7,2.5,全開,6.3,2,0.6,0.6,,,,,,
B,2024/3/5,兵庫県,新米,山田錦,50,6,110,31.92,10:25:00,10.42 ,33.78,,,,,,,,,,,0.00 ,,0.6,0.5,2.9,1.0,5.8,1,0.6,0.5,2.9,1.0,5.8,1,0.6,0.5,,,,,,
A,2024/3/6,岡山県,新米,雄町,50,6,125,31.88,10:30:00,10.50 ,33.94,,,,,,,,,,15:01:00,15.02 ,40.74,0.7,0.8,2.7,全開,6.0,1,0.7,0.8,2.7,全開,6.0,1,0.7,0.8,,,,,,
B,2024/3/7,兵庫県,新米,愛山,50,4,90,31.76,10:44:00,10.73 ,34.30,,,,,,,,,,15:04:00,15.07 ,41.06,1.5,2.1,全閉,全閉,5.6,2,1.5,2.0,全閉,全閉,5.6,2,1.5,1.8,,,,,,
A,2024/3/8,岡山県,新米,雄町,50,6,120,32.34,10:52:00,10.87 ,34.54,,,1.3,2.1,全閉,全閉,39.0,39.5,6.0,15:13:00,15.22 ,41.10,0.7,0.9,2.8,1.0,6.0,1,0.7,0.9,2.8,1.0,6.0,1,0.7,0.9,,,,,,
B,2024/3/9,岡山県,新米,雄町,50,6,140,32.10,10:33:00,10.55 ,33.86,,,,,,,,,,15:20:00,15.33 ,41.16,0.8,1.0,2.8,1.0,6.3,2,0.8,0.9,2.8,1.0,6.3,2,0.8,0.8,,,,,,
A,2024/3/10,兵庫県,新米,山田錦,50,6,130,31.86,10:53:00,10.88 ,33.92,,,,,,,,,,15:07:00,15.12 ,41.02,0.7,0.9,2.8,1.0,6.0,2,0.7,0.8,2.8,1.0,6.0,2,0.7,0.7,,,,,,
A,2024/3/12,兵庫県,新米,山田錦,50,6,130,31.66,11:39:00,11.65 ,35.52,,,1.3,2.1,全閉,全閉,39.0,39.5,6.0,15:03:00,15.05 ,41.10,0.7,0.9,2.8,1.0,6.0,2,0.6,0.7,2.8,1.0,6.0,2,0.6,0.5,,,,,,
B,2024/3/13,兵庫県,新米,山田錦,50,6,110,32.18,11:03:00,11.05 ,35.02,,,,,,,,,,15:06:00,15.10 ,40.96,0.5,0.7,2.9,1.0,5.8,1,0.5,0.7,2.9,1.0,5.8,2,0.5,0.6,,,,,,
A,2024/3/14,広島県,新米,八反錦,60,6,140,,11:01:00,11.02 ,34.62,,,,,,,,,,15:03:00,15.05 ,40.74,0.7,0.9,2.8,1.0,6.2,1,0.7,0.9,2.8,1.0,6.2,1,0.7,0.9,,,,,,
B,2024/3/15,兵庫県,新米,山田錦,50,6,142,31.86,11:07:00,11.12 ,34.48,,,1.4,2.1,全閉,全閉,39.0,39.5,6.2,15:15:00,15.25 ,40.92,0.7,0.9,2.8,1.0,6.2,1,0.7,0.9,2.8,1.0,6.2,2,0.7,0.8,,,,,,
A,2024/3/16,広島県,新米,八反錦,60,6,140,32.36,11:02:00,11.03 ,34.96,,,1.4,2.2,全閉,全閉,39.0,39.5,6.2,15:12:00,15.20 ,41.14,0.7,0.9,2.8,1.0,6.2,1,0.7,0.9,2.8,1.0,6.2,2,0.6,0.7,,,,,,
B,2024/3/17,広島県,新米,八反錦,60,6,120,32.86,11:17:00,11.28 ,36.06,,,,,,,,,,15:06:00,15.10 ,,0.5,0.7,2.9,1.0,6.0,1,0.5,0.7,2.9,1.0,6.0,2,0.5,0.6,,,,,,
A,2024/3/18,兵庫県,新米,山田錦,55,6,135,33.20,10:40:00,10.67 ,35.54,,,,,,,,,,14:58:00,14.97 ,41.46,0.8,1.0,2.8,1.0,6.2,1,0.8,1.0,2.8,1.0,6.2,1,0.8,1.0,,,,,,
B,2024/3/19,広島県,新米,八反錦,60,6,120,32.54,10:59:00,10.98 ,35.08,,,,,,,,,,,0.00 ,,0.5,0.7,2.9,1.0,6.0,2,0.5,0.6,2.9,1.0,6.0,2,0.4,0.4,,,,,,
A,2024/3/20,兵庫県,新米,山田錦,55,6,135,32.50,10:47:00,10.78 ,34.70,,,,,,,,,,15:05:00,15.08 ,41.36,0.8,1.0,2.8,1.0,6.2,1,0.8,1.0,2.8,1.0,6.2,2,0.8,0.8,,,,,,
B,2024/3/21,兵庫県,新米,山田錦,55,6,125,32.14,10:49:00,10.82 ,34.40,,,,,,,,,,15:16:00,15.27 ,41.42,0.7,0.9,2.8,1.0,6.0,1,0.7,0.9,2.8,1.0,6.0,2,0.7,0.8,,,,,,
A,2024/3/22,兵庫県,新米,山田錦,55,6,135,31.64,10:53:00,10.88 ,34.04,,,1.4,2.2,全閉,全閉,39.0,39.5,6.2,15:12:00,15.20 ,41.06,0.8,1.0,2.8,1.0,6.2,1,0.8,1.0,2.8,1.0,6.2,1,0.8,1.0,,,,,,
B,2024/3/23,兵庫県,新米,山田錦,55,6,135,32.20,11:03:00,11.05 ,34.68,,,1.4,2.2,全閉,全閉,39.0,39.5,6.2,,0.00 ,,0.8,1.0,2.8,1.0,6.2,2,0.8,0.8,2.8,1.0,6.2,2,0.8,0.7,,,,,,
A,2024/3/24,岡山県,新米,山田錦,55,6,135,32.30,10:44:00,10.73 ,34.74,,,,,,,,,,14:57:00,14.95 ,41.00,0.8,1.0,2.8,1.0,6.2,2,0.8,0.9,2.8,1.0,6.2,1,0.8,0.9,,,,,,
B,2024/3/25,岡山県,新米,山田錦,55,6,110,33.30,11:05:00,11.08 ,36.06,,,1.3,2.0,全閉,全閉,39.0,39.5,6.0,14:46:00,14.77 ,41.68,0.6,0.8,2.9,1.0,6.0,1,0.6,0.8,2.9,1.0,6.0,1,0.6,0.8,,,,,,
B,2024/3/27,岡山県,新米,山田錦,55,6,140,32.48,11:36:00,11.60 ,36.76,,,1.4,2.2,全閉,全閉,39.0,39.5,6.2,14:25:00,14.42 ,41.12,0.8,1.0,2.8,1.0,6.2,2,0.8,0.8,2.8,1.0,6.2,1,0.8,0.8,,,,,,
A,2024/3/28,兵庫県,新米,山田錦,50,6,115,32.42,10:34:00,10.57 ,34.30,,,,,,,,,,15:00:00,15.00 ,41.12,0.7,0.9,2.8,1.0,6.0,1,0.7,0.9,2.8,1.0,6.0,2,0.7,0.7,,,,,,
B,2024/3/29,広島県,新米,八反錦,60,4,90,32.34,11:01:00,11.02 ,35.36,,,,,,,,,,14:52:00,14.87 ,40.92,1.5,2.0,全閉,全閉,5.6,1,1.5,2.0,全閉,全閉,5.6,2,1.5,1.8,0.3,0.6,2.9,1.0,5.6,
B,2024/3/31,兵庫県,新米,山田錦,50,6,120,32.82,11:12:00,11.20 ,36.04,,,1.3,2.1,全閉,全閉,39.0,39.5,6.0,14:24:00,14.40 ,41.08,0.7,0.9,2.8,1.0,6.0,1,0.7,0.9,2.8,1.0,6.0,1,0.7,0.9,,,,,,
A,2024/4/1,兵庫県,新米,山田錦,50,6,115,32.60,9:50:00,9.83 ,34.26,,,1.3,2.1,全閉,全閉,39.0,39.5,6.0,14:21:00,14.35 ,41.34,0.7,0.9,2.8,1.0,6.0,1,0.7,0.9,2.8,1.0,6.0,1,0.7,0.9,,,,,,
A,2024/4/3,兵庫県,新米,愛山,60,6,140,32.56,11:44:00,11.73 ,36.70,,,,,,,,,,14:17:00,14.28 ,40.68,0.8,1.0,2.8,1.0,6.2,2,0.7,0.9,2.8,1.0,6.2,2,0.6,0.75,,,,,,
B,2024/4/4,兵庫県,新米,山田錦,50,4,95,32.74,10:42:00,10.70 ,35.10,,,,,,,,,,14:58:00,14.97 ,41.40,1.5,2.2,全閉,全閉,5.7,1,1.5,2.2,全閉,全閉,5.7,1,1.5,2.2,,,,,,
A,2024/4/5,岡山県,新米,雄町,40,4,90,32.06,11:05:00,11.08 ,34.98,,,,,,,,,,14:43:00,14.72 ,41.24,1.5,2.1,全閉,全閉,5.6,1,1.5,2.1,全閉,全閉,5.6,1,1.5,2.1,0.25,0.55,2.9,1.0,5.6,
A,2024/4/7,岡山県,新米,雄町,40,4,85,31.64,11:19:00,11.32 ,34.90,,,1.5,2.0,全閉,全閉,39.0,39.5,5.6,15:01:00,15.02 ,40.96,1.5,2.0,全閉,全閉,5.6,1,1.5,2.0,全閉,全閉,5.6,2,1.5,1.9,on,,,,,
B,2024/4/8,岡山県,新米,雄町,40,6,130,32.72,10:54:00,10.90 ,35.26,,,1.4,2.2,,,,,,14:49:00,14.82 ,40.96,0.8,1.0,2.8,1.0,6.2,2,0.8,0.8,2.8,1.0,6.2,2,0.8,0.7,,,,,,
A,2024/4/9,兵庫県,新米,山田錦,50,6,105,32.96,10:18:00,10.30 ,34.64,,,1.3,2.1,全閉,全閉,39.0,39.5,5.8,14:20:00,14.33 ,40.62,0.7,0.8,2.9,1.0,5.8,1,0.7,0.8,2.9,1.0,5.8,2,0.5,0.6,,,,,,
A,2024/4/11,広島県,新米,八反錦,65,6,140,31.96,11:00:00,11.00 ,34.76,,,1.5,2.3,全閉,全閉,39.0,39.5,6.2,15:00:00,15.00 ,41.06,0.8,1.0,2.8,1.0,6.2,1,0.8,1.0,2.8,1.0,6.2,1,0.8,1.0,,,,,,
B,2024/4/12,兵庫県,新米,山田錦,50,6,140,31.94,11:17:00,11.28 ,34.62,,,1.5,2.2,全閉,全閉,39.0,39.5,6.2,15:15:00,15.25 ,40.74,0.8,1.0,2.8,1.0,6.2,1,0.8,1.0,2.8,1.0,6.2,2,0.8,0.9,,,,,,
A,2024/4/13,広島県,新米,八反錦,65,6,140,33.02,11:17:00,11.28 ,35.68,,,1.5,2.2,全閉,全閉,39.0,39.5,6.2,,0.00 ,41.56,0.8,1.0,2.8,1.0,6.2,2,0.8,0.8,2.8,1.0,6.2,2,0.8,0.7,,,,,,
B,2024/4/14,広島県,新米,八反錦,65,6,150,33.66,10:53:00,10.88 ,36.32,,,1.5,2.2,全閉,全閉,39.0,39.5,6.3,15:04:00,15.07 ,41.56,0.9,1.0,2.8,1.0,6.3,2,0.9,0.8,2.8,1.0,6.3,2,0.9,0.7,,,,,,
A,2024/4/15,広島県,新米,八反錦,65,6,140,33.10,10:59:00,10.98 ,35.96,,,,,,,,,,14:35:00,14.58 ,41.28,0.8,1.0,2.8,1.0,6.2,1,0.8,1.0,2.8,1.0,6.2,1,0.8,1.0,,,,,,
B,2024/4/16,広島県,新米,八反錦,65,6,120,33.92,11:12:00,11.20 ,37.56,,,1.4,2.2,,,,,,15:01:00,15.02 ,41.52,0.7,0.9,2.8,1.0,6.0,2,0.7,0.8,2.8,1.0,6.0,2,0.6,0.6,,,,,,
A,2024/4/17,兵庫県,新米,山田錦,50,6,150,33.44,10:51:00,10.85 ,36.36,,,,,,,,,,14:27:00,14.45 ,40.78,0.9,1.1,2.8,1.0,6.4,1,0.9,1.1,2.8,1.0,6.4,1,0.9,1.1,,,,,,
B,2024/4/18,広島県,新米,八反錦,65,6,120,34.54,11:00:00,11.00 ,37.76,,,,,,,,,,15:06:00,15.10 ,41.56,0.7,0.9,2.8,1.0,6.0,1,0.7,0.9,2.8,1.0,6.0,1,0.7,0.9,,,,,,
A,2024/4/19,兵庫県,新米,山田錦,50,6,115,32.42,11:02:00,11.03 ,34.88,,,,,,,,,,14:48:00,14.80 ,40.88,0.7,0.9,2.9,1.0,6.0,1,0.7,0.9,2.9,1.0,6.0,2,0.7,0.8,,,,,,
B,2024/4/20,兵庫県,新米,山田錦,50,6,110,32.98,11:17:00,11.28 ,36.22,,,1.3,2.1,全閉,全閉,39.0,39.5,5.8,15:03:00,15.05 ,41.76,0.7,0.8,2.9,1.0,5.8,2,0.6,0.7,2.9,1.0,5.8,2,0.5,0.6,,,,,,
A,2024/4/21,広島県,新米,八反錦,45,6,140,33.08,10:21:00,10.35 ,34.52,,,,,,,,,,15:04:00,15.07 ,40.98,0.9,1.0,2.8,1.0,6.3,2,0.8,0.9,2.8,1.0,6.3,2,0.7,0.7,,,,,,
B,2024/4/22,兵庫県,新米,山田錦,50,6,130,33.04,11:25:00,11.42 ,36.46,,,1.3,2.1,全閉,全閉,40.0,40.5,6.2,15:04:00,15.07 ,41.92,0.8,1.0,2.9,1.0,6.2,1,0.8,1.0,2.9,1.0,6.2,1,0.8,1.0,,,,,,
